,Matrix
100,"[[-5.22637481e-02  4.48977714e-05  9.98633288e-01]
 [ 4.34960823e-02 -9.99050901e-01  2.32129473e-03]
 [ 9.97685590e-01  4.35579564e-02  5.22121341e-02]]"
101,"[[-5.19070908e-02 -2.14122602e-04  9.98651807e-01]
 [ 4.36734094e-02 -9.99043746e-01  2.05580938e-03]
 [ 9.97696402e-01  4.37212442e-02  5.18666205e-02]]"
102,"[[-5.23473559e-02 -3.39411276e-04  9.98628884e-01]
 [ 4.38964830e-02 -9.99034159e-01  1.96147096e-03]
 [ 9.97663702e-01  4.39389734e-02  5.23117049e-02]]"
103,"[[-5.25862436e-02 -3.99630228e-04  9.98616274e-01]
 [ 4.41298628e-02 -9.99023950e-01  1.92404439e-03]
 [ 9.97640806e-01  4.41699789e-02  5.25524836e-02]]"
104,"[[-5.22182757e-02 -4.01352759e-04  9.98635717e-01]
 [ 4.38567695e-02 -9.99036038e-01  1.89174456e-03]
 [ 9.97672311e-01  4.38957156e-02  5.21857563e-02]]"
105,"[[-5.24717606e-02 -2.19574930e-04  9.98622555e-01]
 [ 4.41762413e-02 -9.99021543e-01  2.10154773e-03]
 [ 9.97644984e-01  4.42256553e-02  5.24304782e-02]]"
106,"[[-5.20521748e-02 -2.59814630e-04  9.98644297e-01]
 [ 4.40383030e-02 -9.99027770e-01  2.03548526e-03]
 [ 9.97672856e-01  4.40845532e-02  5.20129336e-02]]"
107,"[[-5.21527446e-02 -1.93124577e-04  9.98639167e-01]
 [ 4.37489464e-02 -9.99040367e-01  2.09153765e-03]
 [ 9.97680436e-01  4.37984879e-02  5.21112856e-02]]"
108,"[[-5.22070144e-02 -4.66014171e-04  9.98636249e-01]
 [ 4.39212963e-02 -9.99033318e-01  1.82993504e-03]
 [ 9.97670033e-01  4.39569308e-02  5.21771710e-02]]"
109,"[[-5.20310935e-02 -3.02910733e-04  9.98645313e-01]
 [ 4.37139482e-02 -9.99042137e-01  1.97453395e-03]
 [ 9.97688149e-01  4.37574713e-02  5.19942720e-02]]"
110,"[[-5.34047574e-02 -6.73753069e-05  9.98572939e-01]
 [ 4.37914181e-02 -9.99038106e-01  2.27460525e-03]
 [ 9.97612264e-01  4.38504001e-02  5.33563238e-02]]"
111,"[[-5.49810337e-02 -5.16154603e-04  9.98487288e-01]
 [ 4.35629279e-02 -9.99048912e-01  1.88231954e-03]
 [ 9.97536667e-01  4.36005206e-02  5.49512744e-02]]"
112,"[[-5.43777284e-02 -8.69077241e-04  9.98520093e-01]
 [ 4.33730674e-02 -9.99057831e-01  1.49248075e-03]
 [ 9.97578021e-01  4.33900355e-02  5.43642631e-02]]"
113,"[[-5.46541045e-02 -8.69194343e-04  9.98505007e-01]
 [ 4.34028377e-02 -9.99056518e-01  1.50602213e-03]
 [ 9.97561626e-01  4.34202594e-02  5.46403438e-02]]"
114,"[[-5.64450860e-02 -6.64747691e-04  9.98405576e-01]
 [ 4.32999850e-02 -9.99060525e-01  1.78279490e-03]
 [ 9.97466414e-01  4.33315724e-02  5.64210362e-02]]"
115,"[[-5.65503441e-02 -4.06663864e-04  9.98399644e-01]
 [ 4.34911543e-02 -9.99051696e-01  2.05645158e-03]
 [ 9.97452021e-01  4.35378470e-02  5.65143572e-02]]"
116,"[[-5.70970362e-02 -3.83558552e-04  9.98368754e-01]
 [ 4.36482294e-02 -9.99044729e-01  2.11244722e-03]
 [ 9.97414231e-01  4.36976343e-02  5.70596466e-02]]"
117,"[[-5.87386044e-02 -2.54687398e-04  9.98273264e-01]
 [ 4.34803384e-02 -9.99051627e-01  2.30350144e-03]
 [ 9.97325942e-01  4.35405682e-02  5.86937576e-02]]"
118,"[[-5.90051135e-02 -7.77748308e-04  9.98257387e-01]
 [ 4.34579782e-02 -9.99053652e-01  1.79035096e-03]
 [ 9.97311295e-01  4.34878872e-02  5.89830932e-02]]"
119,"[[-0.06081492 -0.00162723  0.99814773]
 [ 0.04318167 -0.99906673  0.00100224]
 [ 0.99721456  0.04316263  0.06082843]]"
120,"[[-6.35530425e-02 -2.30071487e-03  9.97975788e-01]
 [ 4.31839786e-02 -9.99067037e-01  4.46808297e-04]
 [ 9.97043685e-01  4.31249621e-02  6.35930561e-02]]"
121,"[[-6.40035669e-02 -2.43255777e-03  9.97946769e-01]
 [ 4.30154158e-02 -9.99074356e-01  3.23500957e-04]
 [ 9.97022239e-01  4.29477975e-02  6.40490967e-02]]"
122,"[[-6.53829387e-02 -2.88311415e-03  9.97856117e-01]
 [ 4.29774539e-02 -9.99076040e-01 -7.06078737e-05]
 [ 9.96934342e-01  4.28806970e-02  6.54465133e-02]]"
123,"[[-6.68906940e-02 -3.58626734e-03  9.97753810e-01]
 [ 4.27278133e-02 -9.99086486e-01 -7.26532356e-04]
 [ 9.96844953e-01  4.25832428e-02  6.69827054e-02]]"
124,"[[-0.06725235 -0.0044538   0.99772593]
 [ 0.04247903 -0.99909608 -0.0015966 ]
 [ 0.99683118  0.04227506  0.06738047]]"
125,"[[-0.06786648 -0.00498301  0.99768198]
 [ 0.04250413 -0.99909409 -0.00209876]
 [ 0.99678863  0.04226316  0.06801684]]"
126,"[[-0.06892394 -0.00596372  0.99760429]
 [ 0.04196798 -0.99911423 -0.0030732 ]
 [ 0.99673897  0.04165561  0.0691136 ]]"
127,"[[-0.07037681 -0.00699155  0.99749609]
 [ 0.0417814  -0.99911855 -0.00405509]
 [ 0.9966452   0.0413914   0.07060714]]"
128,"[[-0.0712633  -0.00818851  0.9974239 ]
 [ 0.04193357 -0.99910684 -0.00520628]
 [ 0.99657567  0.04145453  0.07154296]]"
129,"[[-0.07238989 -0.00878235  0.9973378 ]
 [ 0.04156785 -0.99911896 -0.00578091]
 [ 0.99650987  0.04103871  0.07269129]]"
130,"[[-0.07289762 -0.00911646  0.99729778]
 [ 0.04141195 -0.9991235  -0.00610613]
 [ 0.99647931  0.04085493  0.07321128]]"
131,"[[-0.07413032 -0.00995236  0.99719906]
 [ 0.04139281 -0.99911916 -0.00689444]
 [ 0.99638931  0.04076578  0.07447734]]"
132,"[[-0.07524801 -0.01055543  0.99710896]
 [ 0.04111902 -0.9991263  -0.00747369]
 [ 0.99631668  0.04043776  0.07561625]]"
133,"[[-0.07622381 -0.01122608  0.99702741]
 [ 0.04098159 -0.99912693 -0.00811664]
 [ 0.99624806  0.0402411   0.07661706]]"
134,"[[-0.07726072 -0.01216882  0.99693657]
 [ 0.0409013  -0.99912242 -0.00902572]
 [ 0.99617152  0.04007867  0.07769046]]"
135,"[[-0.0778866  -0.01240413  0.99688522]
 [ 0.04047399 -0.99913759 -0.00926992]
 [ 0.99614048  0.03962591  0.07832183]]"
136,"[[-0.07814152 -0.01319885  0.99685497]
 [ 0.0402916  -0.99913721 -0.01007069]
 [ 0.99612782  0.03937793  0.07860605]]"
137,"[[-0.07946449 -0.01372037  0.99674326]
 [ 0.0399873  -0.99914433 -0.01056547]
 [ 0.99603534  0.03901749  0.07994512]]"
138,"[[-0.08036594 -0.0146236   0.99665816]
 [ 0.03964035 -0.99914825 -0.01146372]
 [ 0.9959769   0.03858659  0.0808772 ]]"
139,"[[-0.08048339 -0.01480123  0.99664604]
 [ 0.03938821 -0.99915598 -0.01165774]
 [ 0.99597739  0.03831785  0.08099842]]"
140,"[[-0.08174582 -0.01559092  0.9965312 ]
 [ 0.03902968 -0.99916073 -0.01243044]
 [ 0.99588865  0.03787816  0.08228561]]"
141,"[[-0.08262054 -0.01634804  0.99644683]
 [ 0.03879398 -0.99916036 -0.01317596]
 [ 0.99582557  0.03756754  0.08318503]]"
142,"[[-0.08336057 -0.01706203  0.9963733 ]
 [ 0.03828729 -0.99917    -0.01390665]
 [ 0.99578359  0.03698917  0.08394448]]"
143,"[[-0.08381683 -0.01730243  0.9963309 ]
 [ 0.03813547 -0.99917248 -0.01414361]
 [ 0.99575114  0.03681008  0.0844072 ]]"
144,"[[-0.08528338 -0.01820324  0.99619042]
 [ 0.03812989 -0.9991603  -0.01499323]
 [ 0.99562685  0.03670596  0.08590582]]"
145,"[[-0.08641241 -0.01891092  0.99608   ]
 [ 0.03780897 -0.99916181 -0.01568941]
 [ 0.9955418   0.03630499  0.08705509]]"
146,"[[-0.08735203 -0.01955627  0.99598539]
 [ 0.0374576  -0.99916472 -0.01633351]
 [ 0.99547289  0.03588046  0.08801129]]"
147,"[[-0.08783195 -0.02001073  0.99593436]
 [ 0.03722086 -0.99916595 -0.01679313]
 [ 0.99543974  0.03559456  0.08850365]]"
148,"[[-0.08919237 -0.02075847  0.99579815]
 [ 0.03693828 -0.99916396 -0.01752011]
 [ 0.99532931  0.03522041  0.08988476]]"
149,"[[-0.09038849 -0.02137411  0.99567721]
 [ 0.03664428 -0.99916404 -0.01812236]
 [ 0.99523221  0.03484782  0.09109622]]"
150,"[[-0.09128135 -0.02199093  0.9955822 ]
 [ 0.03644469 -0.99916016 -0.01872848]
 [ 0.99515793  0.03457413  0.09200591]]"
151,"[[-0.09245209 -0.02276707  0.99545675]
 [ 0.03627711 -0.99915184 -0.01948238]
 [ 0.99505601  0.03431111  0.09319946]]"
152,"[[-0.0930038  -0.0233867   0.99539119]
 [ 0.03622054 -0.99914185 -0.02009057]
 [ 0.99500685  0.0341851   0.09377136]]"
153,"[[-0.09386146 -0.02373601  0.99530228]
 [ 0.03587374 -0.99914718 -0.02044465]
 [ 0.99493874  0.03378625  0.09463291]]"
154,"[[-0.09495786 -0.02461137  0.99517707]
 [ 0.03557645 -0.99913963 -0.02131473]
 [ 0.99484543  0.03338087  0.09575187]]"
155,"[[-0.0962072  -0.0253852   0.99503761]
 [ 0.0353172  -0.99913232 -0.02207495]
 [ 0.99473462  0.03301817  0.09702035]]"
