imu,server_time,arduino_time,ax,ay,az,gx,gy,gz,mx,my,mz
0,2023-03-01T18:52:25.207640,1734732,1304,1834,63,-1273,-599,-393,-16,140,-184
0,2023-03-01T18:52:25.212371,1734736,1299,1833,57,-1277,-598,-387,-25,141,-191
0,2023-03-01T18:52:25.217958,1734743,1299,1833,57,-1277,-598,-387,-25,141,-191
0,2023-03-01T18:52:25.224065,1734749,1299,1833,57,-1277,-598,-387,-25,141,-191
0,2023-03-01T18:52:25.229203,1734754,1304,1833,51,-1275,-594,-385,-25,141,-191
0,2023-03-01T18:52:25.234768,1734759,1304,1833,51,-1275,-594,-385,-25,141,-191
0,2023-03-01T18:52:25.240351,1734765,1304,1833,51,-1275,-594,-385,-25,141,-191
0,2023-03-01T18:52:25.245648,1734770,1304,1833,51,-1275,-594,-385,-25,141,-191
0,2023-03-01T18:52:25.251250,1734775,1302,1835,64,-1263,-597,-389,-25,141,-191
0,2023-03-01T18:52:25.256946,1734781,1302,1835,64,-1263,-597,-389,-25,141,-191
0,2023-03-01T18:52:25.263723,1734789,1302,1835,64,-1263,-597,-389,-25,141,-191
0,2023-03-01T18:52:25.268536,1734793,1304,1834,59,-1273,-595,-388,-25,141,-191
0,2023-03-01T18:52:25.274045,1734798,1304,1834,59,-1273,-595,-388,-25,141,-191
0,2023-03-01T18:52:25.278924,1734803,1304,1834,59,-1273,-595,-388,-25,141,-191
0,2023-03-01T18:52:25.285540,1734810,1304,1834,59,-1273,-595,-388,-25,141,-191
0,2023-03-01T18:52:25.290464,1734815,1298,1837,56,-1267,-606,-394,-25,141,-191
0,2023-03-01T18:52:25.296170,1734820,1298,1837,56,-1267,-606,-394,-25,141,-191
0,2023-03-01T18:52:25.302167,1734827,1298,1837,56,-1267,-606,-394,-25,141,-191
0,2023-03-01T18:52:25.307569,1734832,1298,1837,56,-1267,-606,-394,-25,141,-191
0,2023-03-01T18:52:25.312515,1734837,1303,1837,66,-1289,-604,-388,-25,141,-191
0,2023-03-01T18:52:25.318510,1734843,1303,1837,66,-1289,-604,-388,-25,141,-191
0,2023-03-01T18:52:25.324552,1734849,1303,1837,66,-1289,-604,-388,-25,141,-191
0,2023-03-01T18:52:25.330014,1734854,1300,1831,58,-1279,-616,-398,-25,141,-191
0,2023-03-01T18:52:25.335685,1734860,1300,1831,58,-1279,-616,-398,-25,141,-191
0,2023-03-01T18:52:25.341673,1734865,1300,1831,58,-1279,-616,-398,-25,141,-191
0,2023-03-01T18:52:25.347370,1734872,1300,1831,58,-1279,-616,-398,-25,141,-191
0,2023-03-01T18:52:25.352061,1734877,1304,1832,68,-1294,-610,-396,-25,151,-181
0,2023-03-01T18:52:25.357851,1734882,1304,1832,68,-1294,-610,-396,-25,151,-181
0,2023-03-01T18:52:25.363502,1734888,1304,1832,68,-1294,-610,-396,-25,151,-181
0,2023-03-01T18:52:25.368847,1734893,1304,1832,68,-1294,-610,-396,-25,151,-181
0,2023-03-01T18:52:25.373946,1734898,1299,1830,63,-1275,-606,-389,-25,151,-181
0,2023-03-01T18:52:25.379343,1734904,1299,1830,63,-1275,-606,-389,-25,151,-181
0,2023-03-01T18:52:25.385123,1734909,1299,1830,63,-1275,-606,-389,-25,151,-181
0,2023-03-01T18:52:25.390064,1734915,1300,1834,68,-1285,-615,-394,-25,151,-181
0,2023-03-01T18:52:25.395957,1734921,1300,1834,68,-1285,-615,-394,-25,151,-181
0,2023-03-01T18:52:25.401399,1734926,1300,1834,68,-1285,-615,-394,-25,151,-181
0,2023-03-01T18:52:25.406005,1734931,1300,1834,68,-1285,-615,-394,-25,151,-181
0,2023-03-01T18:52:25.411034,1734935,1299,1832,68,-1282,-605,-393,-25,151,-181
0,2023-03-01T18:52:25.416528,1734941,1299,1832,68,-1282,-605,-393,-25,151,-181
0,2023-03-01T18:52:25.422692,1734947,1299,1832,68,-1282,-605,-393,-25,151,-181
0,2023-03-01T18:52:25.427867,1734952,1299,1832,68,-1282,-605,-393,-25,151,-181
0,2023-03-01T18:52:25.432784,1734958,1304,1831,68,-1286,-602,-404,-25,151,-181
0,2023-03-01T18:52:25.438363,1734963,1304,1831,68,-1286,-602,-404,-25,151,-181
0,2023-03-01T18:52:25.444129,1734969,1304,1831,68,-1286,-602,-404,-25,151,-181
0,2023-03-01T18:52:25.449035,1734973,1301,1835,63,-1281,-609,-393,-25,151,-181
0,2023-03-01T18:52:25.454204,1734979,1301,1835,63,-1281,-609,-393,-25,151,-181
0,2023-03-01T18:52:25.459146,1734983,1301,1835,63,-1281,-609,-393,-25,151,-181
0,2023-03-01T18:52:25.465479,1734990,1301,1835,63,-1281,-609,-393,-25,151,-181
0,2023-03-01T18:52:25.470321,1734994,1304,1836,75,-1281,-606,-406,-20,144,-180
